coord_key,SDSS,SDR5ID,ra_deg,dec_deg,ra_deg_r,dec_deg_r,sep_arcsec,z,z_r,iMag,M_i,mbh_solar,chi2_pdf,log10_tau_d,log10_sigma_mag_sqrtyr,mu,npts,D(g-i),order,log10_tau_lim_lo,log10_tau_lim_hi,log10_sig_lim_lo,log10_sig_lim_hi,edge_flag,Plike,Pnoise,Pinf
4.863_0.594,001927.17+003539.0,702.0,4.863219,0.594189,4.863219,0.594189,0.0,1.2889,1.2889,-25.517,-25.517,9.336,1.01756,3.23562,-1.15641,18.8823,55.0,0.238,59,3.03111,4.60789,-1.2768,-1.07782,0.0,166.381,107.664,166.204
4.866_0.567,001927.87+003359.9,703.0,4.86615,0.566652,4.86615,0.566652,0.0,1.6234,1.6234,-26.08,-26.08,9.102,1.18463,2.89358,-0.921591,18.9103,54.0,0.349,108,2.74183,4.50533,-1.04366,-0.857674,0.0,148.2,116.336,147.712
4.868_-0.721,001928.43-004316.6,704.0,4.868466,-0.721304,4.868466,-0.721304,0.0,1.7915,1.7915,-25.371,-25.371,0.0,1.00878,2.18544,-0.732408,19.7779,55.0,0.114,128,1.99293,3.76851,-0.906762,-0.681521,0.0,136.03,101.538,133.985
4.869_0.295,001928.53+001740.9,705.0,4.868895,0.294697,4.868895,0.294697,0.0,1.8039,1.8039,-25.649,-25.649,0.0,1.13339,2.99207,-0.915372,19.6694,61.0,0.29,165,2.76512,4.53555,-1.03114,-0.847602,0.0,158.367,113.06,158.087
4.913_-1.171,001939.10-011016.6,711.0,4.912918,-1.171284,4.912918,-1.171284,0.0,1.2602,1.2602,-24.903,-24.903,9.002,0.998141,3.04184,-0.848884,19.1038,54.0,0.071,214,2.87161,4.55275,-0.94881,-0.797963,0.0,145.049,97.0218,144.721
4.918_-0.910,001940.23-005435.9,712.0,4.917626,-0.909984,4.917626,-0.909984,0.0,1.3735,1.3735,-24.957,-24.957,8.825,1.01201,5.0,-1.025,19.2813,60.0,-0.243,83,3.40628,4.71049,-1.11845,-0.945904,1.0,170.877,91.1145,170.877
4.946_-1.137,001946.95-010812.0,715.0,4.94565,-1.13669,4.94565,-1.13669,0.0,2.1166,2.1166,-25.958,-25.958,8.743,1.45388,2.40398,-0.735366,19.5278,54.0,0.295,329,2.0827,4.09362,-0.924096,-0.633867,0.0,123.789,113.886,122.467
4.959_-0.678,001950.06-004040.8,718.0,4.958593,-0.678021,4.958593,-0.678021,0.0,4.3275,4.3275,-27.697,-27.697,9.287,1.26026,5.0,-1.075,19.6128,55.0,-0.403,230,3.22394,4.67843,-1.17169,-0.978044,1.0,142.713,104.608,142.72
4.978_0.687,001954.60+004114.1,720.0,4.977512,0.687273,4.977512,0.687273,0.0,1.9081,1.9081,-25.707,-25.707,9.043,0.866107,2.89178,-0.91691,19.7134,60.0,0.061,382,2.76878,4.53263,-1.03207,-0.862099,0.0,156.978,100.565,156.611
4.990_0.660,001957.60+003936.2,723.0,4.990034,0.66008,4.990034,0.66008,0.0,0.9945,0.9945,-24.379,-24.379,8.699,0.906295,2.35446,-0.892956,19.4204,60.0,0.159,421,2.17374,3.95806,-1.03426,-0.845971,0.0,166.099,128.74,164.303
