coord_key,SDSS,SDR5ID,ra_deg,dec_deg,ra_deg_r,dec_deg_r,sep_arcsec,z,z_r,iMag,M_i,mbh_solar,chi2_pdf,log10_tau_d,log10_sigma_mag_sqrtyr,mu,npts,D(g-i),order,log10_tau_lim_lo,log10_tau_lim_hi,log10_sig_lim_lo,log10_sig_lim_hi,edge_flag,Plike,Pnoise,Pinf
18.576_0.367,011418.27+002202.5,2797.0,18.576127,0.367369,18.576126,0.367369,0.0,1.6803,1.6803,-26.37,-26.37,9.015,0.970692,2.6,-1.1281,18.5927,64.0,0.003,2004,2.45963,4.26993,-1.2399,-1.07681,0.0,210.012,143.788,208.75
18.583_0.017,011419.86+000100.4,2798.0,18.582759,0.016779,18.58276,0.016779,0.00434670577101264,1.6876,1.6876,-25.264,-25.264,8.449,1.2683,2.68231,-0.848316,19.8568,54.0,0.101,1791,2.51976,4.47763,-1.00885,-0.780084,0.0,126.294,94.0241,125.867
18.587_-0.680,011420.95-004049.3,2799.0,18.587311,-0.680362,18.587311,-0.680362,0.0,0.4387,0.4387,-23.396,-23.396,8.636,1.17756,3.3096,-0.721195,18.3762,54.0,-0.21,2130,3.08135,4.62304,-0.811985,-0.673311,0.0,139.134,62.3782,138.998
18.611_-0.248,011426.74-001451.2,2800.0,18.61144,-0.247565,18.611441,-0.247565,0.0,1.5544,1.5544,-24.899,-24.899,8.642,1.05936,2.67631,-0.920449,19.8102,56.0,0.01,1916,2.52523,4.37689,-1.06315,-0.851553,0.0,140.652,95.3322,139.761
18.628_-0.264,011430.61-001550.7,2803.0,18.627543,-0.264097,18.627542,-0.264097,0.003073585126505738,1.9227,1.9227,-25.425,-25.425,9.134,1.3234,1.5454,-0.473915,19.8744,55.0,0.223,1999,1.25856,2.01528,-0.690899,-0.374944,0.0,114.878,104.501,109.635
18.631_-0.187,011431.43-001112.5,2804.0,18.630974,-0.186824,18.630974,-0.186824,0.0,1.8407,1.8407,-25.291,-25.291,0.0,1.08575,3.72969,-1.05449,19.8151,64.0,0.303,1754,3.21138,4.66271,-1.15677,-0.971632,0.0,170.225,106.361,170.196
18.632_0.081,011431.64+000450.6,2805.0,18.631836,0.080735,18.631836,0.080735,0.00434670577101264,1.8323,1.8323,-25.296,-25.296,0.0,1.46889,2.95644,-0.810074,20.0024,58.0,-0.025,1998,2.81397,4.52073,-0.92674,-0.736206,0.0,116.121,67.2604,115.649
18.632_0.440,011431.76+002624.9,2806.0,18.632343,0.440255,18.632343,0.440255,0.0,1.8573,1.8573,-25.339,-25.339,0.0,1.21151,5.0,-1.025,19.934,55.0,0.078,1768,3.48704,4.73906,-1.13129,-0.927388,1.0,135.065,105.943,135.075
18.652_-0.727,011436.39-004336.7,2807.0,18.651631,-0.726883,18.65163,-0.726883,0.0,1.3042,1.3042,-24.979,-24.979,8.829,1.08967,2.92871,-0.712651,19.6858,54.0,0.067,1867,2.80945,4.5123,-0.829517,-0.652885,0.0,123.894,58.6985,123.356
18.658_1.224,011437.84+011326.9,2808.0,18.657701,1.224143,18.657701,1.224143,0.0,1.8173,1.8173,-25.482,-25.482,8.59,0.843278,3.04469,-1.09484,19.763,63.0,0.263,1961,2.85852,4.54959,-1.23311,-1.00779,0.0,165.015,117.631,164.673
18.666_-1.182,011439.86-011053.9,2809.0,18.666088,-1.18165,18.666088,-1.18165,0.0,2.1608,2.1608,-25.623,-25.623,0.0,0.991249,3.23422,-1.11958,20.3037,52.0,0.006,2098,2.93076,4.58607,-1.26502,-0.982651,0.0,115.21,94.2144,115.018
18.669_0.173,011440.60+001023.0,2810.0,18.669171,0.173083,18.66917,0.173083,0.0,2.279,2.279,-25.985,-25.985,9.349,1.45236,3.37847,-0.916605,20.0291,57.0,0.093,1997,3.01618,4.60651,-1.03498,-0.807728,0.0,124.909,87.0831,124.761
18.669_-0.483,011440.61-002857.1,2811.0,18.669237,-0.482541,18.669237,-0.482541,0.0,1.9484,1.9484,-26.273,-26.273,9.077,1.08647,2.60086,-1.07376,19.1245,64.0,0.275,1784,2.48792,4.43704,-1.25108,-1.02187,0.0,191.532,145.995,190.859
18.718_-1.205,011452.33-011218.9,2815.0,18.718066,-1.205267,18.718065,-1.205267,0.0,0.9711,0.9711,-23.767,-23.767,8.417,1.03759,2.97992,-0.562533,20.2989,54.0,-0.655,1813,2.78224,4.53182,-0.671072,-0.506633,0.0,106.063,62.6708,105.726
18.739_0.558,011457.36+003329.3,2817.0,18.739037,0.558154,18.739037,0.558154,0.0,1.5424,1.5424,-24.647,-24.647,8.683,0.964364,3.47508,-0.903567,19.8434,56.0,0.127,1882,3.15273,4.64326,-1.00784,-0.830047,0.0,139.076,79.5638,138.995
18.776_0.750,011506.32+004459.0,2818.0,18.776363,0.749734,18.776363,0.749734,0.0,1.7487,1.7487,-25.461,-25.461,9.03,1.60723,5.0,-0.975,19.807,64.0,0.21,1737,3.55557,4.75834,-1.07571,-0.838777,1.0,140.28,77.5626,140.299
18.805_0.337,011513.16+002013.1,2822.0,18.804868,0.336996,18.804869,0.336996,0.003073585126505738,2.1189,2.1189,-26.072,-26.072,9.528,0.998785,5.0,-1.1,19.4741,65.0,0.071,1934,3.37375,4.71414,-1.19243,-0.992848,1.0,180.764,125.905,180.761
18.818_-0.078,011516.25-000440.4,2824.0,18.817719,-0.077904,18.817719,-0.077904,0.0,1.6111,1.6111,-26.1,-26.1,9.209,1.11366,1.14145,0.000969,18.8978,62.0,0.034,2015,0.898479,1.37923,-0.088331,0.044633,0.0,109.652,100.641,99.3715
18.819_-1.242,011516.47-011430.7,2825.0,18.818646,-1.241881,18.818645,-1.241881,0.0,1.2015,1.2015,-23.654,-23.654,0.0,1.11323,5.0,-0.425,20.2222,54.0,0.107,1905,3.4173,4.71641,-0.519442,-0.346553,1.0,76.8315,26.2792,76.8387
18.824_0.288,011517.79+001715.3,2826.0,18.824138,0.287584,18.824139,0.287584,0.00434670577101264,1.5846,1.5846,-25.005,-25.005,8.74,1.0604,5.0,-1.0,19.8464,64.0,0.191,1885,3.49119,4.74388,-1.07291,-0.888267,1.0,161.52,97.1045,161.536
18.842_-0.827,011522.02-004937.3,2828.0,18.841788,-0.827048,18.841787,-0.827048,0.0,1.2754,1.2754,-25.155,-25.155,8.889,1.40891,1.97675,-0.597605,19.2143,58.0,0.177,1833,1.74553,3.17916,-0.794536,-0.548318,0.0,135.765,113.507,133.051
18.873_-0.957,011529.47-005723.7,2830.0,18.872792,-0.956601,18.872791,-0.956601,0.0,1.5954,1.5954,-25.277,-25.277,8.842,1.42278,3.22801,-0.923389,19.6867,63.0,-0.013,2042,2.94507,4.59648,-1.05355,-0.818036,0.0,149.207,102.745,149.057
18.890_0.983,011533.63+005858.3,2834.0,18.890138,0.982877,18.890139,0.982877,0.0,1.3958,1.3958,-26.322,-26.322,9.17,1.27959,2.42018,-0.926549,18.2459,56.0,0.232,1928,2.24204,4.16331,-1.10188,-0.872565,0.0,162.447,114.872,161.04
18.907_0.341,011537.72+002028.6,2837.0,18.907171,0.341305,18.907171,0.341305,0.0,1.2756,1.2756,-25.683,-25.683,9.066,1.1646,3.21316,-0.902513,18.9067,63.0,-0.019,1909,2.99581,4.59443,-0.99925,-0.848547,0.0,179.544,95.5818,179.333
18.914_-0.233,011539.45-001359.9,2838.0,18.914396,-0.233315,18.914396,-0.233315,0.0,2.3414,2.3414,-26.166,-26.166,9.923,1.00699,2.91613,-1.01492,19.7322,54.0,0.082,2101,2.7202,4.509,-1.14255,-0.939683,0.0,140.736,116.063,140.332
18.916_-0.366,011539.75-002159.3,2839.0,18.91566,-0.366475,18.915661,-0.366475,0.00434670577101264,0.9866,0.9866,-23.66,-23.66,8.703,1.32106,4.19006,-0.66499,19.6488,56.0,0.049,1770,3.20873,4.66941,-0.750678,-0.579052,0.0,123.104,55.537,123.1
18.917_-0.558,011540.05-003328.7,2840.0,18.916902,-0.557976,18.916903,-0.557976,0.0,1.593,1.593,-26.965,-26.965,9.577,0.907705,2.70954,-1.21227,17.859,65.0,-0.183,2093,2.57973,4.4111,-1.33867,-1.16018,0.0,228.044,164.139,227.231
18.926_0.383,011542.18+002300.2,2842.0,18.925761,0.383413,18.92576,0.383413,0.00434670577101264,1.3751,1.3751,-25.284,-25.284,9.227,1.12483,2.56904,-0.72075,19.3946,63.0,-0.136,1785,2.43609,4.28183,-0.853412,-0.67301,0.0,160.261,102.835,159.023
18.926_-0.758,011542.21-004529.0,2843.0,18.925909,-0.758064,18.925909,-0.758064,0.0,2.2069,2.2069,-26.173,-26.173,9.645,1.31665,3.22467,-0.984425,19.5107,55.0,0.174,1805,2.87188,4.59839,-1.10488,-0.894499,0.0,143.247,105.772,143.209
18.934_0.337,011544.05+002014.9,2845.0,18.933567,0.33748,18.933567,0.33748,0.0,1.052,1.052,-24.231,-24.231,8.576,1.21963,3.38215,-0.947337,19.9139,63.0,-0.044,1817,3.09207,4.62159,-1.05512,-0.866242,0.0,155.142,88.4254,154.989
18.944_0.869,011546.52+005208.7,2848.0,18.943855,0.869097,18.943855,0.869097,0.0,1.3432,1.3432,-24.113,-24.113,8.657,1.62696,3.11539,-0.721496,20.1579,51.0,0.214,1730,2.82434,4.57312,-0.848915,-0.615097,0.0,87.899,67.8885,87.7498
18.950_-0.787,011547.93-004713.7,2849.0,18.949747,-0.787146,18.949747,-0.787146,0.0,1.9664,1.9664,-26.008,-26.008,8.983,1.14164,2.81346,-0.935921,19.3918,54.0,0.021,2018,2.69323,4.50903,-1.0687,-0.869453,0.0,145.031,91.4494,144.599
18.969_0.100,011552.59+000601.0,2852.0,18.969147,0.100282,18.969147,0.100282,0.0,3.1927,3.1927,-27.591,-27.591,9.762,1.04467,3.59119,-1.01333,19.2351,55.0,0.081,1743,3.16965,4.64422,-1.10805,-0.945315,0.0,152.118,101.02,152.032
18.973_-0.810,011553.51-004837.1,2853.0,18.972994,-0.810329,18.972994,-0.810329,0.0,1.0558,1.0558,-23.775,-23.775,0.0,1.10911,5.0,-0.85,20.3032,50.0,0.066,1960,3.13004,4.66824,-0.954705,-0.716664,1.0,108.296,71.1834,108.296
18.985_-0.602,011556.47-003607.5,2855.0,18.985319,-0.602109,18.985319,-0.602109,0.0,2.0998,2.0998,-25.248,-25.248,0.0,1.37408,3.3336,-0.8831,19.9288,65.0,0.385,1864,3.00249,4.60161,-0.994667,-0.79661,0.0,150.545,103.499,150.395
18.989_0.124,011557.43+000725.9,2857.0,18.989301,0.123875,18.989302,0.123875,0.00434670577101264,1.5377,1.5377,-24.967,-24.967,8.722,0.890461,2.60709,-0.92646,19.8136,54.0,0.163,1862,2.46941,4.37013,-1.08007,-0.868517,0.0,139.559,102.126,138.658
18.991_-0.241,011557.91-001425.8,2858.0,18.991297,-0.240517,18.991297,-0.240517,0.0,1.7294,1.7294,-25.233,-25.233,8.407,1.17938,1.98429,-0.520491,19.8006,55.0,-0.003,2006,1.70112,3.48586,-0.736053,-0.455591,0.0,119.303,107.38,117.07
19.000_-0.866,011600.11-005156.8,2860.0,19.000479,-0.86578,19.000479,-0.86578,0.0,0.8138,0.8138,-23.777,-23.777,8.641,1.12958,2.90604,-0.497962,19.668,65.0,-0.096,2033,2.78826,4.53885,-0.596655,-0.457635,0.0,139.869,36.5425,139.516
19.003_-0.016,011600.71-000058.2,2861.0,19.002975,-0.016176,19.002975,-0.016176,0.0,3.2087,3.2087,-26.658,-26.658,9.419,1.4022,5.0,-1.0,20.1702,62.0,0.134,1968,3.31022,4.69604,-1.07382,-0.863764,1.0,137.995,78.9166,138.003
19.037_1.230,011608.80+011346.5,2865.0,19.036667,1.229589,19.036667,1.229589,0.0,1.5749,1.5749,-24.914,-24.914,7.48,1.15246,1.75853,-0.609922,19.9169,61.0,0.206,2028,1.41362,2.59105,-0.888583,-0.501568,0.0,138.449,128.857,135.223
19.041_0.950,011609.91+005659.2,2866.0,19.04132,0.949802,19.041321,0.949802,0.0,1.9314,1.9314,-25.074,-25.074,0.0,inf,-10.0,-10.0,20.2531,3.0,-0.056,1971,-10.0,-10.0,-10.0,-10.0,0.0,167.856,-10.0,-10.0
19.050_-1.040,011611.94-010224.6,2868.0,19.049771,-1.040168,19.04977,-1.040168,0.0,2.062,2.062,-26.012,-26.012,9.027,1.42036,5.0,-1.025,19.4903,66.0,-0.047,1880,3.38175,4.71746,-1.12858,-0.90613,1.0,163.905,123.275,163.907
19.065_-0.726,011615.51-004334.7,2869.0,19.064639,-0.726309,19.064638,-0.726309,0.003073585126505738,1.2761,1.2761,-25.781,-25.781,8.859,1.14517,2.50326,-1.09731,18.5531,54.0,-0.056,1846,2.28653,4.22523,-1.27051,-1.02386,0.0,165.872,140.499,164.66
19.070_0.134,011616.68+000803.0,2870.0,19.069541,0.134191,19.069542,0.134191,0.003073585126505738,1.9353,1.9353,-26.52,-26.52,9.478,1.06883,3.80345,-0.871786,19.2344,55.0,-0.074,1982,3.2517,4.66945,-0.968269,-0.802387,0.0,142.504,82.673,142.47
19.074_0.894,011617.64+005336.6,2871.0,19.073542,0.893511,19.073542,0.893511,0.0,1.4158,1.4158,-24.681,-24.681,8.688,0.974869,2.69709,-1.17187,19.7682,55.0,0.029,2012,2.53422,4.47364,-1.42068,-1.07955,0.0,144.155,128.958,143.633
19.092_0.053,011621.96+000311.5,2872.0,19.091522,0.053217,19.091522,0.053217,0.003073585126505738,2.6496,2.6496,-26.608,-26.608,0.0,1.74432,2.65853,-0.954045,19.5472,55.0,0.369,2099,2.05788,4.29678,-1.16739,-0.713238,0.0,126.169,109.962,125.512
19.095_-0.284,011622.74-001702.1,2873.0,19.094754,-0.283934,19.094753,-0.283934,0.003073585126505738,1.5677,1.5677,-25.181,-25.181,7.689,1.13104,3.32675,-0.910163,19.4617,53.0,-0.173,1949,3.00023,4.60778,-1.02595,-0.822608,0.0,132.827,94.324,132.705
19.104_-1.149,011625.03-010856.7,2875.0,19.104325,-1.149103,19.104324,-1.149103,0.0,0.9589,0.9589,-23.271,-23.271,0.0,1.25143,1.51382,-0.210878,20.2453,51.0,0.172,2090,1.25343,1.82534,-0.351318,-0.132612,0.0,86.153,72.3074,79.2812
19.116_-0.218,011627.80-001304.2,2877.0,19.115863,-0.217852,19.115864,-0.217852,0.003073585126505738,0.4687,0.4687,-22.85,-22.85,8.142,1.13475,2.08197,-0.440348,19.0279,51.0,-0.08,1981,1.88831,3.44071,-0.571798,-0.405213,0.0,113.796,81.2095,111.386
19.122_0.151,011629.17+000904.6,2879.0,19.121569,0.151294,19.121569,0.151294,0.003073585126505738,1.2492,1.2492,-24.751,-24.751,9.043,0.710837,4.13959,-0.673771,19.9684,55.0,-0.06,2110,3.18363,4.6622,-0.757234,-0.616575,0.0,128.513,54.8157,128.508
19.133_-0.436,011631.89-002608.2,2881.0,19.132879,-0.435613,19.132879,-0.435613,0.0,1.2108,1.2108,-24.634,-24.634,8.552,1.3118,5.0,-0.725,20.0833,64.0,-0.02,1969,3.66889,4.77519,-0.799506,-0.633199,1.0,138.0,31.8244,138.017
19.140_0.107,011633.69+000625.4,2883.0,19.140415,0.107061,19.140415,0.107061,0.0,1.3165,1.3165,-25.893,-25.893,8.892,1.40454,2.43531,-0.890042,18.4564,55.0,0.023,1733,2.29245,4.22647,-1.11816,-0.831708,0.0,151.004,104.959,149.683
19.146_-0.841,011635.00-005026.0,2884.0,19.145867,-0.840563,19.145866,-0.840563,0.0,1.5782,1.5782,-24.875,-24.875,8.815,1.79379,2.21089,-0.639844,19.9614,115.0,0.021,2063,1.93113,3.67796,-0.870293,-0.539953,0.0,241.912,194.053,239.921
19.158_-1.222,011637.80-011320.6,2886.0,19.157535,-1.222411,19.157536,-1.222411,0.0,1.0586,1.0586,-24.112,-24.112,8.571,1.31577,1.76011,-0.421506,19.8405,51.0,-0.05,1858,1.54061,2.10256,-0.573582,-0.35313,0.0,101.534,74.7964,96.0339
19.158_0.451,011637.95+002703.1,2887.0,19.15813,0.450883,19.158131,0.450883,0.003073585126505738,1.5249,1.5249,-24.569,-24.569,8.557,1.10047,3.09319,-0.792492,20.1653,53.0,0.156,2134,2.82842,4.57522,-0.919979,-0.707595,0.0,107.272,72.4769,107.138
19.160_-0.856,011638.39-005122.7,2889.0,19.159975,-0.856309,19.159975,-0.856309,0.0,2.0651,2.0651,-26.118,-26.118,0.0,1.43173,3.1896,-1.07889,19.3981,66.0,0.446,2061,2.96089,4.58376,-1.19837,-0.994163,0.0,173.146,127.604,172.905
19.162_-0.652,011638.80-003908.3,2890.0,19.161678,-0.652319,19.161678,-0.652319,0.0,2.1321,2.1321,-25.744,-25.744,0.0,1.06993,-0.731577,0.367816,19.924,53.0,0.267,1912,-1.64687,0.935599,-0.509238,0.768609,0.0,126.471,126.47,122.253
19.176_-1.120,011642.35-010711.9,2894.0,19.176491,-1.119985,19.176491,-1.119985,0.0,1.4434,1.4434,-23.912,-23.912,0.0,1.80663,3.031,-0.560312,20.6289,52.0,-9.0,2092,2.80429,4.5482,-0.697284,-0.463429,0.0,69.2886,60.1918,69.0142
19.199_1.247,011647.64+011449.1,2896.0,19.198528,1.246985,19.198528,1.246985,0.0,1.9692,1.9692,-26.108,-26.108,8.836,1.0979,2.7811,-0.876005,19.2413,62.0,0.061,1753,2.63998,4.46308,-0.998159,-0.819317,0.0,165.06,111.45,164.441
19.217_-0.104,011652.11-000615.2,2898.0,19.217163,-0.104229,19.217163,-0.104229,0.0,1.5731,1.5731,-25.866,-25.866,8.949,0.814261,3.01617,-0.969002,19.0039,65.0,0.079,1984,2.83022,4.54319,-1.06746,-0.91896,0.0,200.353,127.887,200.018
19.225_-1.167,011654.04-010959.8,2899.0,19.225181,-1.166615,19.225182,-1.166615,0.0,1.1085,1.1085,-24.876,-24.876,9.001,1.27753,3.8993,-0.925346,19.2666,52.0,-0.153,1919,3.1337,4.65096,-1.03103,-0.827977,0.0,130.542,78.8317,130.513
19.244_-0.343,011658.61-002034.6,2900.0,19.244231,-0.342963,19.24423,-0.342963,0.00434670577101264,2.1832,2.1832,-26.208,-26.208,9.3,0.989798,2.61376,-1.12764,19.3819,55.0,0.018,2067,2.36527,4.35657,-1.31549,-1.04249,0.0,157.282,149.36,156.497
19.246_0.450,011658.95+002659.4,2901.0,19.245641,0.449852,19.245642,0.449852,0.0,1.6138,1.6138,-25.174,-25.174,0.0,1.03287,3.19848,-1.54224,19.7638,55.0,0.206,2022,0.895952,4.33945,-2.0319,-1.16159,0.0,149.801,147.678,149.667
19.252_-0.828,011700.52-004940.4,2902.0,19.252173,-0.827912,19.252172,-0.827912,0.0,2.14,2.14,-25.266,-25.266,0.0,1.54347,2.21251,-0.758455,20.2634,55.0,0.366,1994,1.94166,4.02926,-1.07174,-0.668993,0.0,109.956,103.867,108.382
19.262_0.304,011702.88+001813.1,2903.0,19.262027,0.303646,19.262028,0.303646,0.005323605600495953,1.7804,1.7804,-25.067,-25.067,0.0,2.23584,7.5,-1.52358,20.1127,58.0,0.105,1728,2.46039,4.54902,-1.44498,-1.018,0.0,129.689,102.54,115.275
19.302_-0.023,011712.38-000122.8,2905.0,19.301587,-0.023007,19.301586,-0.023007,0.003073585126505738,1.5326,1.5326,-24.661,-24.661,0.0,1.35967,2.96167,-0.727103,20.0214,65.0,-0.026,1986,2.82513,4.52188,-0.832988,-0.668443,0.0,143.229,81.9218,142.746
19.303_-0.972,011712.81-005817.4,2906.0,19.303408,-0.971514,19.303408,-0.971514,0.0,0.4858,0.4858,-23.236,-23.236,8.217,1.26086,2.68128,-0.625704,18.786,65.0,-0.117,1876,2.51857,4.4048,-0.745658,-0.580583,0.0,159.794,96.6623,159.033
19.316_0.666,011715.89+003957.6,2907.0,19.316238,0.666002,19.316238,0.666002,0.0,1.7625,1.7625,-26.007,-26.007,9.381,1.17965,1.38966,-0.462917,19.1392,65.0,0.17,2081,1.09906,1.99759,-0.683822,-0.38761,0.0,159.177,149.605,154.398
19.316_0.441,011715.95+002627.0,2908.0,19.316461,0.440853,19.316462,0.440853,0.0,3.7456,3.7456,-26.741,-26.741,0.0,1.09947,2.99018,-1.1434,20.087,53.0,-0.317,1744,2.75634,4.52764,-1.30534,-1.01356,0.0,124.291,104.567,123.946
19.352_-0.356,011724.53-002120.5,2911.0,19.352249,-0.355701,19.352249,-0.355701,0.0,2.8928,2.8928,-26.068,-26.068,0.0,1.07033,2.60131,-0.695521,20.1117,54.0,0.078,1756,2.46412,4.37857,-0.835879,-0.643525,0.0,119.191,71.5475,118.358
19.365_-0.487,011727.56-002911.6,2912.0,19.364867,-0.486575,19.364866,-0.486575,0.0,1.8236,1.8236,-25.125,-25.125,0.0,1.40084,3.19105,-0.935436,20.249,63.0,-0.058,1995,2.98303,4.60037,-1.08151,-0.840782,0.0,137.102,97.4521,136.918
19.366_0.840,011727.84+005025.0,2913.0,19.366023,0.840305,19.366022,0.840305,0.0,0.49,0.49,-23.104,-23.104,8.047,1.42935,2.24724,-0.485476,18.9557,118.0,0.016,1852,2.04913,3.44042,-0.596184,-0.453306,0.0,285.153,187.662,282.651
19.371_1.087,011728.92+010513.7,2914.0,19.370508,1.087142,19.370508,1.087142,0.0,1.6647,1.6647,-25.76,-25.76,9.379,1.26225,2.64232,-1.07018,19.2868,63.0,0.744,2038,2.27895,4.45763,-1.30117,-0.954959,0.0,172.288,156.81,172.017
19.371_0.364,011729.12+002148.6,2915.0,19.371366,0.363514,19.371367,0.363514,0.00434670577101264,2.5219,2.5219,-26.904,-26.904,0.0,0.946431,3.76211,-1.10161,19.1934,65.0,0.097,1800,3.27604,4.67004,-1.20106,-1.02712,0.0,199.531,111.158,199.459
19.380_-0.501,011731.08-003002.3,2916.0,19.379527,-0.50064,19.379526,-0.50064,0.0,1.8277,1.8277,-25.219,-25.219,0.0,1.15799,5.0,-1.15,20.0201,64.0,0.352,2070,3.31193,4.70291,-1.23842,-1.03096,1.0,167.674,139.746,167.678
19.385_0.822,011732.32+004919.0,2918.0,19.38467,0.821952,19.38467,0.821952,0.0,1.3714,1.3714,-25.271,-25.271,8.873,1.23186,3.04533,-0.933904,19.4533,66.0,0.06,1816,2.89935,4.55196,-1.04678,-0.863687,0.0,168.581,100.193,168.187
19.386_-0.967,011732.69-005801.1,2919.0,19.38621,-0.96698,19.386209,-0.96698,0.0,2.5298,2.5298,-25.25,-25.25,0.0,1.08869,2.25557,-0.515283,20.7253,64.0,-0.148,2091,2.02735,3.98936,-0.696327,-0.451231,0.0,112.296,90.5381,110.707
19.389_0.957,011733.26+005724.5,2921.0,19.388609,0.956829,19.388609,0.956829,0.0,1.8425,1.8425,-25.146,-25.146,0.0,1.02557,2.75823,-0.858486,19.9639,52.0,0.176,2041,2.56597,4.47485,-1.02192,-0.780483,0.0,121.301,99.9466,120.86
19.397_0.175,011735.16+001030.0,2923.0,19.396508,0.175016,19.396507,0.175016,0.003073585126505738,0.7944,0.7944,-23.39,-23.39,8.728,1.11205,2.68943,-0.801693,19.6724,56.0,-0.034,1794,2.55213,4.36514,-0.915886,-0.752735,0.0,137.065,92.9937,136.074
19.417_-0.605,011740.16-003616.8,2925.0,19.417374,-0.60469,19.417374,-0.60469,0.0,1.9861,1.9861,-25.933,-25.933,8.617,1.3921,2.55483,-0.908004,19.4404,65.0,-0.016,1757,2.39879,4.28506,-1.07718,-0.838656,0.0,170.655,133.856,169.494
19.419_-0.047,011740.54-000250.4,2926.0,19.418948,-0.047353,19.418947,-0.047353,0.00434670577101264,1.5509,1.5509,-24.992,-24.992,9.029,1.27747,3.20453,-0.921871,19.8791,62.0,-0.176,2026,2.93577,4.58911,-1.0373,-0.832452,0.0,149.723,81.5943,149.558
19.420_-0.685,011740.91-004104.3,2927.0,19.420478,-0.68453,19.420479,-0.68453,0.0,0.9655,0.9655,-23.715,-23.715,0.0,1.32121,5.0,-1.05,19.8518,53.0,0.528,1988,3.31202,4.70605,-1.16198,-0.914993,1.0,131.817,97.4078,131.821
19.421_0.341,011741.12+002026.3,2928.0,19.421344,0.340645,19.421345,0.340645,0.0,0.5699,0.5699,-22.651,-22.651,8.097,1.17145,1.67172,-0.209235,19.9373,48.0,-0.138,1856,1.42793,2.09938,-0.355363,-0.15205,0.0,84.9653,66.3165,79.9866
19.436_-0.509,011744.69-003033.2,2932.0,19.43621,-0.509228,19.436211,-0.509228,0.00434670577101264,1.3178,1.3178,-25.079,-25.079,9.144,1.23841,5.0,-0.65,19.3569,64.0,-0.075,1801,3.1446,4.6637,-0.741595,-0.583034,1.0,158.565,77.2226,158.566
19.438_-0.253,011745.17-001512.4,2933.0,19.438217,-0.253459,19.438217,-0.253459,0.0,1.7129,1.7129,-23.568,-23.568,0.0,74.9355,-10.0,-10.0,20.8194,5.0,-0.79,1931,-10.0,-10.0,-10.0,-10.0,0.0,82.1508,45.1717,71.9599
19.491_-1.136,011757.79-010809.9,2938.0,19.490806,-1.136107,19.490807,-1.136107,0.0,0.7075,0.7075,-24.215,-24.215,8.565,1.12022,2.87223,-0.719722,18.7706,55.0,-0.137,2037,2.7528,4.54667,-0.836207,-0.672195,0.0,140.68,84.2523,140.405
19.492_0.351,011757.99+002104.1,2939.0,19.491637,0.351146,19.491636,0.351146,0.0,0.6121,0.6121,-22.694,-22.694,0.0,1.0807,1.23142,-0.166285,19.8584,52.0,0.071,1947,0.912282,1.5654,-0.310691,-0.075095,0.0,98.9161,92.5868,90.9384
19.495_0.339,011758.83+002021.4,2940.0,19.495154,0.339294,19.495153,0.339294,0.0,0.613,0.613,-24.732,-24.732,8.611,0.921755,3.8273,-0.896367,18.3364,65.0,-0.25,1956,3.30852,4.67725,-0.976237,-0.858081,0.0,202.535,93.0461,202.477
19.516_0.807,011803.81+004824.4,2943.0,19.515886,0.806796,19.515886,0.806796,0.0,1.2771,1.2771,-24.905,-24.905,9.244,0.982852,3.97654,-0.881797,19.6205,65.0,-0.076,2032,3.33378,4.68794,-0.959602,-0.8035,0.0,158.85,71.2632,158.832
19.529_0.344,011807.04+002039.9,2946.0,19.529342,0.344439,19.529343,0.344439,0.0,1.0566,1.0566,-23.986,-23.986,8.893,1.0827,2.53437,-0.642569,20.0791,64.0,-0.005,1818,2.38842,4.24483,-0.765722,-0.595473,0.0,142.162,89.2339,140.875
19.571_-1.239,011817.10-011421.9,2950.0,19.571266,-1.239423,19.571266,-1.239423,0.0,0.6672,0.6672,-23.583,-23.583,8.843,1.31129,2.41251,-0.870256,19.081,55.0,0.374,1973,2.18757,4.05869,-1.03746,-0.793047,0.0,140.576,118.335,139.046
19.601_-1.142,011824.28-010832.0,2951.0,19.601197,-1.142223,19.601196,-1.142223,0.0,0.966,0.966,-24.617,-24.617,8.79,2.82775,2.80787,-0.592386,19.147,56.0,-0.119,1930,2.63877,4.45921,-0.738267,-0.509768,0.0,82.1508,53.5962,81.5297
19.617_-0.878,011827.99-005239.8,2955.0,19.616628,-0.877724,19.616629,-0.877724,0.0,2.1852,2.1852,-27.532,-27.532,0.0,1.06498,2.69049,-1.15393,18.0389,64.0,0.107,1946,2.55177,4.39419,-1.27951,-1.10161,0.0,212.094,159.821,211.24
19.634_-0.232,011832.05-001353.9,2956.0,19.633552,-0.231657,19.633553,-0.231657,0.00434670577101264,2.0903,2.0903,-25.493,-25.493,0.0,1.18175,3.07582,-1.18118,20.0358,56.0,0.98,1938,2.68231,4.55012,-1.3274,-1.05062,0.0,135.479,117.884,135.356
19.636_0.810,011832.70+004836.9,2957.0,19.63625,0.810271,19.63625,0.810271,0.0,1.5386,1.5386,-25.87,-25.87,8.962,0.895906,3.03657,-1.05729,19.1434,66.0,-0.128,2031,2.86786,4.55836,-1.16845,-0.998423,0.0,194.733,134.281,194.438
