SDSS,ra_deg,dec_deg,z,iMag,D(g-i),order
001010.03+005126.6,2.541802,0.857401,0.387,-22.786,0.475,127
001928.43-004316.6,4.868466,-0.721304,1.7915,-25.371,0.114,128
000530.14-002356.2,1.375595,-0.398947,1.0605,-23.861,0.224,129
001549.08+001732.0,3.954523,0.292229,3.0661,-26.747,-0.084,130
001030.55+010006.0,2.627306,1.001683,0.378,-24.018,0.175,131
000848.44-000717.7,2.201872,-0.121595,1.5652,-24.731,0.076,132
000119.44-011234.3,0.331015,-1.209549,2.2135,-25.973,0.273,133
000326.67+001157.1,0.861154,0.19922,1.8518,-26.205,0.088,134
000805.18-003946.7,2.021588,-0.662987,1.9248,-25.137,0.029,135
000322.60-002941.1,0.844205,-0.494774,0.651,-23.139,0.142,136
000053.09-003712.8,0.22122,-0.620238,1.3201,-25.879,-0.258,137
001522.34-004050.3,3.843105,-0.680664,0.83,-22.617,-0.049,138
000448.08-002321.7,1.200359,-0.389388,1.7257,-25.62,0.011,139
001754.16+011123.3,4.475696,1.189831,1.4649,-25.954,0.213,140
000057.58+010658.6,0.239919,1.116289,2.5538,-25.957,0.084,141
000640.47+004707.1,1.668659,0.785318,1.8475,-25.557,-0.036,142
001109.17-005903.4,2.788218,-0.984289,1.6608,-24.884,0.218,143
001657.76+005614.8,4.240668,0.937446,1.8847,-26.732,0.805,144
000421.02-003403.1,1.08761,-0.567536,1.4603,-26.007,-0.054,145
001207.47+002707.1,3.031127,0.451987,0.4139,-22.043,0.241,146
000220.09-005222.9,0.583719,-0.873029,2.235,-25.706,0.575,147
000154.89-002209.0,0.478713,-0.369185,1.1661,-25.161,-0.094,148
000058.22-004646.5,0.242602,-0.779604,1.8951,-26.732,0.022,149
001504.34-005439.1,3.768117,-0.910887,0.6497,-24.467,-0.098,150
001324.86+004817.6,3.353617,0.804893,1.857,-25.258,-0.036,151
000604.97-011459.3,1.520743,-1.249816,2.4993,-25.612,0.144,152
000006.53+003055.2,0.027228,0.515349,1.8227,-25.1,0.098,153
001022.13-002216.7,2.592211,-0.371331,0.8589,-23.797,0.18,154
000015.47+005246.8,0.064492,0.87968,1.8476,-26.017,0.104,155
001840.80-005618.8,4.670013,-0.938563,1.6655,-24.998,0.398,156
001254.37-010838.5,3.226554,-1.144053,3.1454,-26.428,0.206,157
000701.33+002242.3,1.755543,0.378437,0.888,-26.274,0.158,158
001109.60+004545.6,2.790013,0.762671,1.4778,-24.999,-0.043,159
001053.56+000642.9,2.723181,0.111925,1.8734,-26.298,0.357,160
001201.87+005259.7,3.007815,0.883258,1.6519,-24.966,0.796,161
001604.80-001642.2,4.020003,-0.278392,2.0132,-25.552,0.121,162
000744.61-005451.3,1.935914,-0.914254,1.2675,-24.871,0.07,163
001229.71+000037.9,3.123811,0.010529,2.0351,-26.317,-0.053,164
001928.53+001740.9,4.868895,0.294697,1.8039,-25.649,0.29,165
001038.88-005143.8,2.662003,-0.862181,1.5169,-24.938,0.19,166
001317.46-000635.8,3.322757,-0.109955,0.6812,-22.91,0.135,167
001815.77+001632.4,4.565726,0.275677,0.5755,-22.022,0.371,168
000451.78+011239.9,1.21578,1.211084,1.5513,-24.971,0.238,169
001557.08+004822.4,3.987847,0.806224,2.3131,-26.101,0.331,170
000822.06-002302.7,2.091958,-0.38411,3.0641,-26.918,0.22,171
001647.83+011220.2,4.199293,1.205634,1.4906,-25.832,0.409,172
000750.05-000914.7,1.958546,-0.154086,0.7993,-24.093,-0.107,173
001747.79-001815.9,4.449136,-0.304419,2.499,-25.977,-0.036,174
