SDSS,ra_deg,dec_deg,z,iMag,D(g-i),order
221142.93-003846.0,332.928876,-0.646139,0.7475,-23.083,0.443,4025
220759.39+001722.6,331.997467,0.289616,0.3677,-22.646,-0.061,4026
221023.06-003147.0,332.596085,-0.529734,1.1825,-25.293,0.008,4027
220614.04-011248.2,331.558506,-1.213404,1.4946,-25.158,0.115,4028
220219.07-011358.4,330.579485,-1.232901,2.717,-26.615,0.097,4029
220842.95-010403.0,332.178965,-1.067521,3.993,-27.356,0.077,4030
220033.94-002821.2,330.141447,-0.472578,1.2047,-24.606,0.085,4031
220908.24-005558.8,332.284361,-0.933023,0.5299,-23.422,-0.228,4032
221550.18-005641.8,333.959086,-0.944962,0.5541,-22.284,0.417,4033
221242.48-004114.9,333.177003,-0.687489,2.5224,-26.649,-0.34,4034
220704.31+005025.9,331.767996,0.840537,0.318,-22.396,-0.211,4035
221012.55+001603.4,332.552333,0.267631,1.4059,-24.779,0.077,4036
220033.70-010427.9,330.140455,-1.074432,1.7265,-24.515,-0.001,4037
220546.16+004240.9,331.442348,0.711366,1.3005,-24.684,0.452,4038
221428.97+003430.0,333.620748,0.575016,2.4487,-25.76,0.08,4039
220430.23+004201.1,331.125999,0.700325,1.8733,-25.836,-0.111,4040
220803.92-010219.7,332.016355,-1.038819,1.4061,-24.211,0.213,4041
221326.95+003846.0,333.362306,0.646115,2.5281,-26.968,0.401,4042
220644.47-003906.2,331.685332,-0.651731,1.2287,-24.949,0.035,4043
221110.98-000953.3,332.795777,-0.164831,0.6661,-24.103,0.347,4044
221421.30-005635.1,333.588788,-0.943086,1.4735,-24.541,0.36,4045
221555.99+010127.0,333.983302,1.024186,2.2397,-26.983,0.225,4046
221059.31-010335.8,332.747162,-1.059955,1.4577,-24.743,0.418,4047
220152.38-001720.8,330.468273,-0.289118,1.5809,-24.407,0.282,4048
221439.31+003714.6,333.663796,0.620727,1.482,-26.088,0.012,4049
221727.97+005808.5,334.366559,0.969033,2.1633,-25.451,0.342,4050
220348.68-004450.1,330.952872,-0.747277,1.8569,-27.233,0.077,4051
220413.96-011430.4,331.058195,-1.241801,1.6473,-25.634,-0.101,4052
220142.30-002458.6,330.426263,-0.416278,2.0253,-25.678,0.191,4053
220143.94-004103.0,330.433095,-0.684186,1.6884,-26.291,0.057,4054
220526.26+003103.2,331.359445,0.517567,2.6785,-26.53,0.01,4055
221534.50+002123.9,333.893764,0.356651,1.5054,-25.337,0.257,4056
221756.92+010119.5,334.487188,1.022088,0.8618,-25.587,0.048,4057
221042.06+010321.9,332.675269,1.056087,1.8431,-26.721,0.865,4058
220817.41-010129.7,332.072556,-1.024944,1.9037,-25.363,-0.079,4059
221942.45+003415.3,334.926896,0.570919,1.5489,-25.102,-0.225,4060
221745.56-004925.3,334.43987,-0.823717,3.14,-26.454,0.15,4061
220701.96+003426.6,331.758189,0.574063,2.4958,-26.651,-0.051,4062
221907.95+004023.3,334.783154,0.673151,0.6136,-22.854,0.435,4063
221620.26-001632.3,334.084419,-0.275663,0.7547,-23.482,0.085,4064
220417.62+011320.1,331.073435,1.222269,2.8135,-27.033,0.141,4065
221115.26+002006.1,332.813617,0.335029,1.721,-24.979,-0.026,4066
221826.14+000012.8,334.608954,0.003583,0.4281,-22.075,0.102,4067
221241.98+002455.1,333.174933,0.415331,1.2084,-24.547,0.125,4068
220609.63+002836.3,331.540156,0.47677,2.1709,-25.292,0.01,4069
221154.19+001238.8,332.975793,0.210783,1.2584,-24.58,0.134,4070
221037.48+003255.5,332.656186,0.548755,3.161,-27.169,0.098,4071
220329.45-010936.2,330.87271,-1.160068,1.8762,-25.275,-0.005,4072
221100.12-003450.4,332.750505,-0.58068,2.0711,-25.841,0.117,4073
221759.45+003055.4,334.497715,0.515392,3.1007,-25.829,-0.138,4074
220005.76+010606.5,330.024037,1.101833,0.8225,-22.905,0.09,4075
220501.93+001751.9,331.258073,0.297767,1.2271,-23.892,0.016,4076
220557.26+001209.8,331.488595,0.202725,3.6538,-26.605,0.395,4077
221312.08-003725.6,333.300338,-0.623781,2.0633,-25.425,-0.148,4078
220837.76+000829.7,332.157369,0.141593,1.844,-25.29,0.273,4079
221217.27+003227.0,333.071987,0.540843,2.2532,-27.789,0.35,4080
221931.67-001547.1,334.881982,-0.263094,1.9775,-26.106,0.323,4081
221027.46+011052.3,332.614437,1.181204,2.6984,-26.187,-0.039,4082
220239.30+000650.0,330.663781,0.113909,2.1301,-25.579,0.034,4083
220909.69+004508.0,332.290402,0.752233,1.4189,-25.678,0.043,4084
221543.52-010052.8,333.931368,-1.014692,0.8781,-24.895,-0.137,4085
221226.41+003255.3,333.110047,0.548696,2.46,-26.703,0.756,4086
221036.62+000813.3,332.652588,0.137046,1.9866,-25.192,0.12,4087
221221.08-002401.3,333.087869,-0.400374,1.6712,-24.868,0.114,4088
220827.65-010844.9,332.115229,-1.145813,1.7876,-25.356,0.062,4089
221359.31-010756.2,333.497159,-1.132282,1.7984,-25.441,0.143,4090
220800.07+001210.3,332.000324,0.202877,2.175,-26.331,0.042,4091
220450.34-003605.6,331.209761,-0.601566,3.3807,-26.406,0.014,4092
220312.65-001444.3,330.802713,-0.245642,1.9739,-25.992,-9.0,4093
221552.14-002117.5,333.967285,-0.35487,1.4594,-24.805,0.032,4094
221146.16-003513.5,332.942365,-0.587088,0.7587,-22.892,0.244,4095
221705.71-001307.7,334.273816,-0.218807,4.674,-27.142,4.596,4096
220900.45-005720.2,332.251878,-0.955613,0.4632,-22.247,0.113,4097
220852.26+003718.0,332.217791,0.62168,1.1913,-23.895,0.203,4098
221204.95-010935.7,333.020655,-1.159936,1.0748,-23.655,-0.014,4099
221526.74+011356.4,333.861444,1.232361,1.2622,-25.395,-0.098,4100
220313.73+010617.0,330.807231,1.104739,2.0648,-25.911,0.078,4101
220608.58+000039.0,331.535758,0.010858,1.6284,-25.608,0.377,4102
221110.08+001840.8,332.792012,0.311356,2.2855,-26.188,0.135,4103
221050.91-001745.9,332.712133,-0.296099,1.2944,-26.008,-0.037,4104
221115.06-000030.9,332.812765,-0.008604,0.4778,-22.569,-0.05,4105
221254.54-002605.8,333.22729,-0.434952,1.8782,-25.398,0.548,4106
221545.51+004430.2,333.939634,0.741742,1.8629,-25.151,-0.003,4107
221900.65+000812.1,334.752728,0.136716,1.4149,-24.668,0.229,4108
221031.54-001515.6,332.631454,-0.254342,1.0843,-24.645,0.362,4109
220735.15+000401.3,331.89646,0.067048,0.7757,-24.172,0.058,4110
221350.43-011129.9,333.46013,-1.191655,1.9347,-25.949,0.642,4111
220308.55-010305.8,330.785647,-1.051622,1.9752,-26.169,0.869,4112
221925.45-001556.6,334.856057,-0.265744,2.2167,-25.495,0.12,4113
220947.09-011419.5,332.446229,-1.238757,2.0836,-25.52,0.287,4114
221325.12-010547.2,333.354683,-1.096468,0.7133,-22.734,0.168,4115
220057.81-002941.1,330.240886,-0.494766,1.2304,-24.865,-0.16,4116
221022.50+000218.5,332.59379,0.038484,1.3848,-24.794,-0.098,4117
220713.36-000805.5,331.805674,-0.134877,0.5161,-22.723,0.418,4118
221302.57+003015.9,333.260719,0.504429,0.763,-22.545,0.541,4119
021335.14+010446.4,33.396451,1.079579,1.5378,-25.324,-0.087,4120
020700.76-001535.6,31.753198,-0.259906,1.3853,-24.792,-0.175,4121
020106.18-005654.6,30.275779,-0.948508,0.7045,-23.027,0.177,4122
020711.50-002052.3,31.797948,-0.347878,1.6322,-24.851,0.122,4123
021606.12-002104.9,34.025527,-0.35137,2.2175,-27.409,0.314,4124
020134.65-010317.2,30.394377,-1.054778,1.0213,-25.393,0.027,4125
020255.59-004102.9,30.731654,-0.684161,1.4158,-25.347,-0.106,4126
020033.47+002621.2,30.13948,0.439245,2.8537,-26.262,0.147,4127
021558.50-005120.3,33.993764,-0.855666,1.6552,-26.854,0.028,4128
020821.19+003734.6,32.088303,0.626305,2.0061,-25.679,0.063,4129
021251.94+001048.6,33.216442,0.180183,0.8217,-24.298,0.127,4130
021900.41+005550.8,34.751731,0.930795,1.6491,-25.611,-0.047,4131
021558.40-011135.9,33.993346,-1.193321,0.8414,-25.666,0.008,4132
020953.16+005510.9,32.471501,0.919719,2.1907,-26.736,0.035,4133
020927.93+010545.7,32.366405,1.096035,2.5819,-25.617,0.822,4134
020200.18-005617.0,30.500764,-0.938057,1.1503,-25.411,-0.01,4135
020517.56+004316.3,31.323178,0.72121,0.6062,-23.648,0.404,4136
021510.51-004802.2,33.793832,-0.800612,1.6481,-25.425,-0.081,4137
021337.63+002556.2,33.406806,0.432299,1.6438,-26.075,0.048,4138
021046.47-004327.1,32.693644,-0.724204,0.3864,-22.191,-0.247,4139
021759.61-001449.1,34.498389,-0.246973,2.2919,-25.854,0.357,4140
020247.92-005852.1,30.699668,-0.981143,1.3294,-24.95,0.05,4141
021449.10-005040.9,33.704594,-0.844708,1.5977,-26.003,-0.148,4142
021906.32-001224.7,34.776344,-0.206889,1.5855,-25.096,0.077,4143
021704.33+004710.3,34.268047,0.786198,1.6654,-25.655,0.282,4144
020136.97-003337.2,30.404063,-0.560341,1.6941,-24.951,0.004,4145
020847.19+002014.2,32.196649,0.337278,1.0785,-24.747,-0.004,4146
021353.36-010058.3,33.472361,-1.01621,2.126,-25.307,0.05,4147
021724.53-010357.5,34.352235,-1.065973,2.2377,-27.013,0.036,4148
021946.51-003440.2,34.943807,-0.577841,1.5678,-25.305,0.185,4149
020923.69+002748.9,32.34871,0.463599,0.8607,-23.458,-0.091,4150
021726.40-002003.4,34.360015,-0.334284,1.0554,-24.364,-0.005,4151
021903.93-003104.7,34.766379,-0.517987,0.6683,-24.102,-0.038,4152
020326.46-003953.9,30.860283,-0.664999,4.1463,-27.789,-0.209,4153
020753.87+002302.3,31.974473,0.383997,1.1103,-23.982,0.151,4154
020852.00+010321.8,32.216675,1.056067,1.677,-25.118,0.131,4155
021215.73-002213.0,33.06555,-0.370279,1.4909,-24.597,0.137,4156
021052.38-011512.5,32.718284,-1.25349,1.5327,-25.122,-0.212,4157
021000.62-002356.6,32.502613,-0.399082,1.3881,-25.329,0.05,4158
020119.22+001316.8,30.330086,0.22136,1.8137,-25.09,-9.0,4159
020038.81+010224.8,30.161719,1.040223,1.6427,-24.779,0.451,4160
020410.18-000622.6,31.042443,-0.106296,1.7672,-25.726,0.716,4161
021356.26+000109.1,33.484456,0.019203,1.3891,-24.694,0.152,4162
021457.20-010323.8,33.738373,-1.056634,1.7697,-26.211,0.101,4163
021957.48+003118.9,34.989529,0.521931,1.8411,-25.909,0.061,4164
020505.80+011415.9,31.274169,1.237751,2.2324,-26.818,0.203,4165
020129.37+004623.5,30.372396,0.773209,1.7714,-25.896,0.163,4166
021209.28+001957.0,33.03867,0.332523,1.1324,-23.508,0.098,4167
020801.18-003917.5,32.004929,-0.654875,1.9614,-25.783,-0.225,4168
021233.13-011132.0,33.138043,-1.19223,1.1532,-24.235,0.172,4169
020138.35+003948.5,30.409817,0.663484,1.3055,-24.45,-0.064,4170
021742.51+005426.7,34.42714,0.907435,1.277,-24.574,0.75,4171
020712.15-000816.1,31.800635,-0.137814,1.8709,-26.03,-0.098,4172
021634.02-005759.1,34.141753,-0.966442,0.4368,-22.354,0.091,4173
020400.31+003452.5,31.001297,0.581255,1.1813,-23.713,0.068,4174
020952.63+003219.5,32.469309,0.538765,1.5619,-26.221,-0.094,4175
020921.99-005455.5,32.341651,-0.915419,1.3702,-25.108,0.179,4176
021052.83+005938.6,32.720133,0.994058,1.1378,-25.141,-0.05,4177
020437.35+005821.2,31.155661,0.972572,2.7892,-26.065,0.076,4178
021605.14-010154.9,34.021447,-1.031941,1.3838,-24.611,-0.084,4179
021433.08-010916.2,33.637875,-1.154523,1.7003,-25.523,-0.119,4180
021006.94-004818.9,32.528957,-0.805276,1.7956,-25.899,0.176,4181
020930.38+001916.8,32.376597,0.321346,2.0462,-26.163,0.041,4182
020841.83-011209.3,32.174311,-1.20259,2.0621,-25.389,0.057,4183
020252.44+005107.8,30.718511,0.852173,2.9275,-26.006,0.033,4184
020317.21-010122.8,30.821746,-1.023018,1.7252,-25.489,0.174,4185
021959.32+010651.6,34.997189,1.114351,1.6169,-25.158,-0.01,4186
021953.03-004434.1,34.971,-0.742833,0.6855,-23.578,-0.087,4187
021649.25-003723.5,34.205234,-0.623213,1.5421,-26.208,0.018,4188
020219.17-004103.5,30.579914,-0.684322,2.2679,-25.789,-0.029,4189
020319.92+002240.7,30.833001,0.377996,1.0663,-24.772,-0.017,4190
021425.69-003859.6,33.607047,-0.649905,1.7262,-27.175,-0.111,4191
020310.10+011327.9,30.792109,1.224418,1.6745,-25.652,0.161,4192
020040.92+001100.5,30.170512,0.183491,1.3147,-24.895,-0.137,4193
021115.64-010904.4,32.815169,-1.15124,1.883,-25.536,0.121,4194
020240.71-001438.5,30.669641,-0.244029,1.9507,-25.668,-0.089,4195
021653.92+004004.2,34.224695,0.667856,0.865,-23.535,0.174,4196
020520.33+002911.8,31.33472,0.486631,1.8915,-25.366,0.183,4197
021810.52-010147.4,34.543858,-1.029841,1.3531,-24.952,0.144,4198
020833.47-005856.5,32.139474,-0.982363,1.9726,-26.003,0.194,4199
020251.01-000917.0,30.712547,-0.154748,0.3776,-22.374,-0.24,4200
020502.12-002343.3,31.258853,-0.395372,1.9536,-25.588,0.084,4201
020629.32+004843.0,31.622204,0.811962,2.512,-27.359,0.231,4202
021040.56+000300.3,32.669025,0.050089,1.5512,-24.916,0.297,4203
020447.32+001344.7,31.197173,0.229086,2.446,-25.72,0.051,4204
020210.97-002225.7,30.545723,-0.373812,3.6244,-26.787,-0.087,4205
020925.45-004230.9,32.356071,-0.708587,0.87,-24.007,0.135,4206
021609.52+010130.4,34.039702,1.025114,0.4877,-23.506,-0.18,4207
020413.64+003210.8,31.056838,0.536356,1.3857,-25.149,-0.034,4208
020106.89-000805.0,30.278737,-0.134744,1.7145,-25.45,0.088,4209
020056.01+002926.7,30.233405,0.490763,2.1636,-25.347,-0.205,4210
021928.67-005216.0,34.869487,-0.871123,2.3417,-25.212,0.237,4211
020212.46-001923.5,30.551958,-0.323203,0.7408,-23.925,0.309,4212
020445.09-011513.4,31.187882,-1.253731,2.1257,-26.131,0.031,4213
020127.63-000108.6,30.365153,-0.019071,1.9339,-26.078,0.023,4214
021727.28+002002.4,34.363674,0.334018,1.1998,-24.532,-0.062,4215
021122.53+002217.1,32.843904,0.371428,1.9561,-26.12,-0.014,4216
021947.36-004745.5,34.947357,-0.795991,1.4237,-25.998,0.006,4217
020332.21-011525.8,30.884247,-1.257187,0.591,-23.912,-0.104,4218
021108.56-003743.2,32.785694,-0.628686,2.1149,-26.285,-0.064,4219
021416.95-005229.1,33.570657,-0.874758,1.7958,-25.74,0.111,4220
020537.86+000405.6,31.407774,0.068242,1.702,-25.353,0.016,4221
021758.96-011448.2,34.495683,-1.246739,1.2156,-24.44,-0.069,4222
021951.74-004435.2,34.965597,-0.74313,1.0348,-24.599,-0.009,4223
021546.52+010058.2,33.943873,1.016193,0.5319,-22.376,0.776,4224
021907.64-000417.4,34.781866,-0.071526,3.0677,-25.958,0.01,4225
020025.05-001314.3,30.104412,-0.220645,1.6993,-25.348,-0.087,4226
020234.32+000301.7,30.643004,0.050495,0.3664,-22.743,-0.032,4227
020929.83-005602.6,32.37432,-0.934064,0.427,-22.1,0.465,4228
021019.25+003736.1,32.580234,0.626708,1.5532,-25.46,0.145,4229
020830.93-000834.1,32.128881,-0.142807,1.3519,-24.056,0.214,4230
020216.40+010913.5,30.568371,1.153764,0.8286,-23.939,0.191,4231
020427.80-011239.5,31.115847,-1.210986,3.937,-27.4,-0.101,4232
021742.83-011414.7,34.428476,-1.237429,1.5354,-25.206,0.192,4233
020034.97-002125.7,30.145726,-0.35715,1.0417,-25.262,0.221,4234
021331.61+000653.0,33.381709,0.114735,0.7731,-23.175,0.083,4235
021944.33+004740.9,34.934742,0.794708,0.8899,-23.942,0.171,4236
020059.69-003637.3,30.248736,-0.610383,1.0646,-25.449,0.092,4237
021035.82-010524.3,32.649268,-1.090088,1.9266,-26.306,-0.035,4238
020426.23-010140.2,31.109309,-1.027861,1.8184,-26.598,0.197,4239
020146.20-005415.5,30.442538,-0.90433,2.2446,-26.525,0.186,4240
021223.95-005126.0,33.099822,-0.857228,2.1283,-25.185,0.103,4241
020503.95+005212.8,31.266498,0.870238,1.5825,-25.201,-0.057,4242
020105.80-002055.8,30.274179,-0.348836,1.1181,-23.866,0.055,4243
020105.14+000617.9,30.271455,0.104986,1.2112,-26.417,0.158,4244
021323.27+005413.6,33.346965,0.903784,1.8007,-25.052,0.241,4245
021107.16+000517.8,32.779852,0.0883,1.3328,-23.726,-0.039,4246
021811.22-001909.8,34.546786,-0.319392,2.2914,-26.909,0.239,4247
020204.14+003828.0,30.517264,0.641125,2.9856,-26.241,0.154,4248
021539.62+005640.1,33.915117,0.944492,0.8343,-23.527,-0.097,4249
021343.54+001258.3,33.43145,0.216205,2.3391,-25.638,0.003,4250
021552.53+011000.1,33.968889,1.166721,0.8767,-23.798,0.0,4251
020242.38+010459.1,30.676606,1.083109,1.3173,-24.963,-0.031,4252
020421.41+001311.4,31.089209,0.219851,0.9321,-24.344,-0.014,4253
020727.12+002857.5,31.863004,0.482645,1.1793,-24.424,-0.002,4254
020215.06-001557.6,30.562787,-0.26601,0.6763,-23.384,0.014,4255
020920.40-000313.8,32.335003,-0.053855,0.9458,-23.74,0.104,4256
021330.06+010355.5,33.375257,1.065424,0.7612,-23.528,-0.088,4257
020038.67-005954.5,30.161141,-0.998477,0.253,-22.121,-0.404,4258
020818.63-000534.4,32.077658,-0.092893,0.4935,-22.499,0.146,4259
021511.44+005957.6,33.797701,0.999357,1.1434,-24.361,-0.069,4260
021149.36-001903.9,32.955668,-0.317756,2.6442,-25.815,0.166,4261
020915.92-000031.0,32.316374,-0.008621,1.9568,-25.502,0.053,4262
021252.04+000334.5,33.216868,0.059593,1.6472,-24.84,-0.03,4263
021026.42+005201.8,32.610102,0.867167,1.3814,-24.589,0.406,4264
021226.72+002937.7,33.111351,0.493811,1.4278,-24.697,0.101,4265
020334.94+005955.6,30.895622,0.998793,2.03,-25.382,0.276,4266
021520.09-000209.0,33.833746,-0.035848,1.6361,-25.288,0.011,4267
021122.57-001005.4,32.844072,-0.168186,1.9194,-25.513,0.018,4268
020654.27+004530.5,31.726163,0.758499,0.9033,-23.544,0.16,4269
021645.00+000230.8,34.187501,0.041916,1.1109,-25.046,-0.13,4270
021733.50+004611.3,34.389598,0.769822,1.95,-25.151,0.748,4271
021138.62-003724.0,32.91093,-0.623353,1.983,-25.979,0.675,4272
021637.21+001008.5,34.155047,0.169049,1.6731,-25.59,0.681,4273
021151.29+001314.4,32.963745,0.22069,1.31,-25.556,0.026,4274
021215.98+003621.3,33.066584,0.605929,3.0949,-26.693,-0.159,4275
020300.81-005800.5,30.753382,-0.966818,1.8218,-25.391,0.11,4276
021100.99-004401.9,32.754144,-0.73388,1.3565,-25.959,0.094,4277
020724.17-004841.4,31.850736,-0.811501,0.3725,-22.152,0.498,4278
021423.28+002837.1,33.597017,0.476987,1.1182,-23.748,0.083,4279
020946.99-002841.1,32.445824,-0.478102,1.3061,-25.308,-0.159,4280
021734.63-002641.9,34.394293,-0.444979,1.5567,-26.69,-0.124,4281
020327.40-001626.0,30.86419,-0.273892,1.0214,-23.994,0.02,4282
020159.56-001417.5,30.498189,-0.2382,1.0237,-23.366,-0.02,4283
020025.75-005119.1,30.107328,-0.855329,1.9498,-25.896,0.087,4284
020457.34+004730.3,31.238936,0.791768,1.8337,-25.617,0.162,4285
021720.97-001323.8,34.337397,-0.223294,1.6248,-25.109,-0.085,4286
020340.40-000201.8,30.918354,-0.03384,1.7431,-26.145,0.117,4287
020214.33+010536.6,30.55972,1.093522,0.6793,-23.595,0.033,4288
020410.18-010305.7,31.042424,-1.051586,2.011,-25.686,-0.047,4289
021610.30-005919.5,34.042942,-0.988759,1.5239,-25.365,0.073,4290
020901.19-004448.3,32.254977,-0.746754,0.9225,-23.652,-0.523,4291
020310.88-005337.4,30.79536,-0.893735,1.2538,-24.287,0.094,4292
020307.15-010718.2,30.779827,-1.121734,2.3173,-25.756,0.078,4293
020403.07+002452.9,31.012808,0.414702,0.4351,-22.2,0.588,4294
021814.08+003448.3,34.558683,0.580106,1.618,-24.802,0.11,4295
021434.71+002209.4,33.644632,0.369285,1.5522,-25.198,-0.117,4296
021251.11-004337.8,33.212968,-0.727182,0.6362,-22.792,0.273,4297
020257.25-005330.1,30.738542,-0.891697,1.8419,-26.12,0.125,4298
020422.63+005951.2,31.094296,0.997557,1.8273,-26.042,0.031,4299
020105.86-001959.5,30.274439,-0.333219,2.8001,-26.721,0.024,4300
021419.42-010716.9,33.58092,-1.121364,4.6381,-26.888,4.316,4301
021231.41+004703.3,33.130879,0.784272,1.3545,-24.292,-0.013,4302
021541.13-010250.9,33.921388,-1.047491,0.5092,-22.857,0.603,4303
020429.84-004042.3,31.124351,-0.678437,0.4399,-22.933,0.027,4304
020948.58+002726.7,32.452421,0.457418,2.7022,-27.871,0.304,4305
021310.33-003620.3,33.293043,-0.605666,1.5599,-25.639,0.119,4306
020927.94+011237.6,32.36644,1.210471,1.0828,-24.694,0.132,4307
021436.94+003150.7,33.653944,0.530767,1.0392,-24.853,0.165,4308
020350.47-000751.2,30.960304,-0.130892,1.6187,-25.665,0.026,4309
020445.69+004002.7,31.190386,0.66744,1.4704,-26.66,0.102,4310
020837.95-003422.2,32.158163,-0.572848,2.2572,-26.123,0.039,4311
020603.88+003406.4,31.516201,0.568469,1.4424,-25.964,-0.072,4312
020823.53+004450.1,32.098082,0.747269,0.4938,-22.466,0.589,4313
021520.40+004432.4,33.835031,0.742335,1.9369,-25.771,0.097,4314
020021.63-001301.8,30.090137,-0.217175,1.4103,-25.251,0.41,4315
020204.48-010549.9,30.518677,-1.097202,2.0873,-25.307,-0.146,4316
020251.43+003722.7,30.714294,0.622974,0.87,-23.49,0.21,4317
021606.40+011509.6,34.026673,1.252685,2.2216,-27.309,0.806,4318
021247.97-002256.7,33.199881,-0.382428,0.4237,-22.237,0.341,4319
021407.90+004252.3,33.532933,0.714535,1.3972,-24.504,0.461,4320
021519.49+004225.8,33.83124,0.707193,2.7459,-26.654,0.048,4321
021147.96+003023.4,32.949852,0.506527,1.7506,-27.496,-0.003,4322
021114.03-005327.5,32.808466,-0.890989,1.484,-25.721,0.07,4323
020719.65-001959.8,31.831876,-0.333283,3.4012,-27.897,-0.186,4324
020654.37+001922.9,31.726582,0.323046,1.6842,-25.073,0.119,4325
020854.62-011336.2,32.227592,-1.22673,3.2386,-26.18,-0.163,4326
020616.64+005133.8,31.569356,0.859406,3.3461,-26.381,-0.196,4327
020322.14+005443.6,30.842251,0.912121,1.1875,-25.451,0.094,4328
021934.59+004559.3,34.894142,0.766481,1.7281,-25.338,0.205,4329
020217.84+001441.5,30.574369,0.244878,1.6906,-25.108,0.374,4330
021621.98-010818.5,34.091606,-1.138491,1.5184,-25.059,0.005,4331
021450.26+000134.8,33.709445,0.026338,2.0681,-26.137,-0.165,4332
021852.66-010731.6,34.719451,-1.125455,0.9024,-24.224,-0.457,4333
021200.85+000425.7,33.003554,0.073807,2.688,-26.542,0.267,4334
021708.34-001820.7,34.284757,-0.305768,0.4368,-22.515,0.007,4335
020006.31-003709.7,30.0263,-0.619387,2.1396,-27.439,0.348,4336
020626.45-002625.6,31.610227,-0.440446,1.7205,-25.811,-0.09,4337
021258.99-000550.1,33.245826,-0.097257,0.8127,-23.957,0.44,4338
020547.33-010701.5,31.447228,-1.117092,0.7606,-22.811,-0.435,4339
021655.23+002755.0,34.230131,0.4653,2.1632,-26.144,-0.116,4340
021936.93+011325.2,34.903886,1.223693,1.7911,-25.639,-0.177,4341
021025.93-001624.0,32.608058,-0.273358,0.595,-22.547,0.018,4342
021622.24+000603.2,34.092668,0.100914,1.8241,-25.489,0.075,4343
021805.57-011007.7,34.523247,-1.168809,3.7847,-26.913,0.071,4344
021243.10-001500.0,33.179604,-0.250026,1.5338,-24.917,0.577,4345
021137.64+002457.4,32.906869,0.415958,2.5585,-25.713,0.289,4346
021224.16-003201.2,33.100678,-0.53367,1.6302,-25.25,0.182,4347
021752.75+001521.6,34.469801,0.256018,1.1727,-24.564,0.167,4348
020643.52+002347.3,31.681335,0.3965,1.2233,-23.888,-0.094,4349
021242.86+000557.3,33.178612,0.099277,2.1324,-26.414,0.001,4350
021327.25-001446.9,33.363551,-0.246368,2.3998,-25.643,0.176,4351
020143.48+003222.8,30.431178,0.539668,2.2972,-26.273,-0.017,4352
021617.18-011046.8,34.071623,-1.179691,3.2782,-26.755,-0.016,4353
021123.37+001959.4,32.847407,0.333192,0.4868,-23.411,-0.085,4354
021409.91+011019.0,33.541333,1.171968,1.5766,-24.989,-0.132,4355
021011.37-003239.2,32.547399,-0.544226,1.6109,-25.923,0.064,4356
020113.52-002723.9,30.306354,-0.456661,0.603,-23.827,-0.211,4357
021959.65+001746.6,34.998579,0.296305,0.9574,-23.494,-0.099,4358
021548.22-010942.9,33.950922,-1.161939,1.6732,-25.941,-0.121,4359
020312.50-001304.1,30.802086,-0.217809,1.4402,-25.295,0.057,4360
020222.00+010557.1,30.591685,1.099204,0.5013,-23.496,-0.128,4361
020502.81-001739.0,31.261722,-0.294193,3.5938,-26.55,-0.245,4362
020327.29+003938.1,30.863719,0.660598,2.2833,-27.266,0.14,4363
020055.28-002807.8,30.230372,-0.468835,1.6032,-25.162,-0.069,4364
020207.11+010151.1,30.529641,1.030887,0.7597,-23.093,0.354,4365
020615.90+004658.8,31.566257,0.783021,1.5637,-24.664,0.188,4366
021707.18+010507.5,34.279954,1.085422,0.5395,-22.63,0.006,4367
020656.94-005557.0,31.73728,-0.932523,2.2481,-25.875,0.247,4368
021249.47+003448.6,33.206159,0.580191,1.2131,-23.741,-0.585,4369
021723.35+002710.7,34.347322,0.452983,0.8119,-22.467,0.15,4370
020527.77-005747.5,31.365725,-0.96321,1.2464,-25.652,-0.054,4371
021545.55-005828.7,33.939798,-0.974651,1.6803,-24.874,-0.055,4372
020115.53+003135.0,30.314712,0.526401,0.3624,-22.586,-0.364,4373
020511.37+000046.1,31.297405,0.012825,1.9707,-25.747,-0.059,4374
021531.59+003034.9,33.881662,0.509712,1.1293,-24.557,0.104,4375
021255.52+005804.8,33.231337,0.968012,0.5051,-23.002,0.575,4376
021828.27-000343.2,34.617801,-0.06202,0.9801,-23.428,-0.146,4377
021953.22-010817.7,34.971773,-1.138259,1.1366,-24.796,0.017,4378
021427.15-001819.6,33.613164,-0.305459,1.3996,-25.182,-0.008,4379
021417.64-010524.8,33.573504,-1.090235,1.1791,-23.595,-0.03,4380
021832.12-004015.5,34.633845,-0.670991,1.6931,-24.794,-9.0,4381
021219.54+005840.6,33.081432,0.977965,0.4558,-22.53,0.662,4382
020731.68+010348.9,31.882014,1.063589,3.8458,-26.94,-0.107,4383
020953.48+005113.5,32.472841,0.853771,2.1962,-25.984,0.282,4384
020357.29+003310.6,30.988724,0.55297,1.7723,-25.876,-0.034,4385
020514.05-010720.1,31.308563,-1.122267,1.0994,-24.539,-0.02,4386
020248.74+001046.4,30.703112,0.179565,1.6097,-24.756,1.357,4387
020705.71+003641.1,31.773817,0.611435,1.6032,-25.47,0.028,4388
021609.26+003442.8,34.038588,0.578572,1.061,-24.173,0.163,4389
021954.56-000304.6,34.977367,-0.051292,1.7834,-24.839,0.129,4390
021805.84-000447.2,34.524364,-0.079779,0.5193,-22.45,-0.14,4391
020643.16+011126.7,31.67987,1.190755,1.3569,-24.335,-2.058,4392
020637.99+004648.3,31.658303,0.780094,0.4863,-22.081,0.12,4393
