SDR5ID,ra_deg,dec_deg,z,M_i,mbh_solar,chi2_pdf,log10_tau_d,log10_sigma_mag_sqrtyr,log10_tau_lim_lo,log10_tau_lim_hi,log10_sig_lim_lo,log10_sig_lim_hi,edge_flag,Plike,Pnoise,Pinf,mu,npts
499.0,3.448351,-0.418616,1.1193,-25.336,9.291,1.42874,3.03188,-1.02258,2.88962,4.54872,-1.13011,-0.965584,0.0,342.207,245.06,341.801,18.6324,113.0
594.0,4.135159,0.239336,3.3298,-26.419,8.838,1.09832,0.573629,0.019099,-0.208336,0.931569,-0.195676,0.360987,0.0,102.586,101.023,93.4736,20.0871,53.0
639.0,4.462035,-0.563773,1.0856,-25.689,8.792,1.12022,2.53139,-1.0364,2.38325,4.30146,-1.16129,-0.995816,0.0,192.956,153.717,191.857,18.3888,61.0
423.0,2.923954,-0.071942,3.0839,-25.489,8.763,1.08246,3.23849,-0.781382,2.98292,4.60205,-0.891554,-0.70881,0.0,125.971,74.4816,125.82,20.5283,61.0
429.0,2.969918,1.00145,1.4421,-23.934,0.0,1.35353,2.89963,-0.531296,2.7072,4.5084,-0.662058,-0.453699,0.0,66.0797,45.2842,65.6626,20.7109,48.0
7.0,0.049842,0.040372,0.479,-24.046,8.369,1.06391,1.44799,-0.537564,1.17611,1.7515,-0.640046,-0.483067,0.0,150.991,139.641,143.906,17.7661,55.0
592.0,4.128096,0.543241,2.1058,-26.98,8.562,0.912588,5.0,-1.2,3.6702,4.77412,-1.2688,-1.10281,1.0,166.816,117.435,166.841,18.827,53.0
712.0,4.917626,-0.909984,1.3735,-24.957,8.825,1.01201,5.0,-1.025,3.40628,4.71049,-1.11845,-0.945904,1.0,170.877,91.1145,170.877,19.2813,60.0
363.0,2.584517,-0.127469,2.1546,-26.36,8.915,0.917669,3.61565,-1.01328,3.07915,4.63889,-1.11329,-0.942224,0.0,171.181,112.625,171.164,19.4238,61.0
125.0,0.912976,1.172123,1.697,-25.344,0.0,1.26342,2.44401,-0.804575,2.32751,4.39337,-1.03196,-0.759353,0.0,147.806,108.332,147.084,19.5754,61.0
63.0,0.354767,0.002622,1.9737,-25.985,9.263,1.69589,3.3591,-0.965863,3.04601,4.62169,-1.07486,-0.881372,0.0,301.502,245.7,301.413,19.3545,116.0
95.0,0.60875,0.096981,1.6512,-26.533,9.069,1.54229,3.63474,-1.05238,3.17051,4.6532,-1.15305,-0.967152,0.0,151.622,102.938,151.585,18.453,55.0
464.0,3.219364,-0.035002,0.5691,-22.335,0.0,20.0498,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,151.622,-10.0,-10.0,19.9149,7.0
568.0,3.951075,0.140881,1.719,-25.027,0.0,1.12594,5.0,-0.95,3.1784,4.67612,-1.04311,-0.837948,1.0,126.86,81.2707,126.858,20.0542,53.0
522.0,3.619745,0.651285,1.1665,-24.334,9.2,1.33359,3.77358,-0.713333,3.23961,4.66868,-0.814788,-0.651534,0.0,149.083,58.4154,149.059,19.2465,62.0
324.0,2.323695,-0.229118,1.5357,-25.177,9.013,1.12976,5.0,-0.875,3.45387,4.72759,-0.968859,-0.779213,1.0,123.319,84.3278,123.324,19.5384,52.0
243.0,1.754362,-0.743067,1.365,-24.206,0.0,1.12583,2.90648,-0.709525,2.77855,4.53721,-0.835573,-0.649458,0.0,117.808,69.9138,117.454,20.1356,54.0
205.0,1.454388,-0.576538,1.624,-26.165,8.99,0.832414,2.65286,-1.02765,2.54034,4.39019,-1.1405,-0.985941,0.0,186.574,114.803,185.666,18.8469,59.0
440.0,3.045067,0.886382,3.221,-26.552,0.0,0.739778,3.3222,-1.31992,3.01074,4.616,-1.50244,-1.18426,0.0,137.521,118.669,137.386,20.0289,54.0
501.0,3.45679,-0.797747,1.9254,-26.096,9.388,1.27036,2.83903,-0.892177,2.7372,4.51655,-1.05432,-0.824253,0.0,126.737,85.0856,126.249,19.3856,50.0
265.0,1.952264,-0.063963,1.2341,-25.651,9.018,1.23594,2.1405,-0.806386,1.96136,3.45314,-0.989165,-0.759569,0.0,168.909,116.714,166.377,18.6295,60.0
184.0,1.300784,0.134155,1.1208,-23.734,0.0,1.38262,1.81685,-0.494716,1.41155,2.3622,-0.662545,-0.372682,0.0,95.0142,87.8941,91.3124,20.1236,48.0
271.0,1.978562,-0.667685,0.5731,-22.688,7.899,1.32415,2.28514,-0.681282,2.05133,3.77812,-0.840311,-0.616136,0.0,128.278,99.0596,126.328,19.7222,56.0
571.0,3.995189,-1.162239,1.356,-24.485,0.0,0.781325,3.50228,-1.00431,3.02302,4.62351,-1.1257,-0.903165,0.0,123.344,84.6234,123.284,20.2234,51.0
