dbID,z,iMag,npts,H,C
1285114,1.7931,19.326,67,0.9034914024660287,3.376495588298806
1285416,1.5523,19.637,67,0.9108866072703151,3.3127881243686397
1285638,1.3543,19.933,68,0.9406281938686639,3.2748418010322027
1285983,1.8036,20.032,67,0.9374321372175227,3.8224478358099687
1286965,1.3937,19.226,64,0.8918516213227734,3.6307709457901893
1287421,0.7639,18.598,64,0.8935242861900013,3.4327288942016336
1287859,0.3493,18.534,38,0.9306855144220375,3.5392730202743214
1287972,1.0364,18.888,62,0.9160044074983,3.7888446813528707
1288496,1.1185,20.08,64,0.9053189242624518,3.6307709457901893
1289191,1.6034,18.564,66,0.8943278063078738,3.416180020421547
1289546,1.0213,19.861,58,0.9199138989752633,3.4905562722241146
1289640,1.2966,19.569,67,0.9112421144676327,3.440203052228972
1289965,0.7401,20.02,64,0.940764586095783,3.3007008598092633
1290222,0.6463,18.95,69,0.8947443297437818,3.6114437833329567
1290252,1.4932,19.366,62,0.9275993467055533,3.5182129183990942
1290364,0.7345,19.442,60,0.9208770906727659,3.469783527306865
1290809,1.5168,20.004,68,0.8971007000578369,3.589730435746837
1291108,1.5486,18.398,69,0.9036356052560475,3.735976327585817
1291287,1.0199,18.689,69,0.9452734121115192,2.7397159735629324
1291596,2.0348,18.845,127,0.8978173404358364,3.6139173502151394
1291892,1.286,19.929,66,0.8918318795971544,3.674004927623173
1292491,1.3792,18.531,68,0.8947473631294528,3.2118640740892754
1292837,1.2829,19.907,65,0.8669384986834341,3.5221392589744434
1292959,2.5086,19.971,63,0.8968732574389625,3.0739386679679113
1293269,0.9742,19.649,60,0.8942532911082164,3.469783527306865
1293440,2.7492,20.373,62,0.9519011616425124,3.7211867406144266
1293496,1.0243,19.488,62,0.900684984964333,3.5182129183990942
1293979,1.4923,19.732,64,0.9309145935604641,3.6967849629863747
1294279,1.6394,19.08,59,0.9359784938036331,3.0230018980680335
1294588,1.7529,20.409,69,0.9479544511057328,3.735976327585817
1294776,1.5388,19.523,62,0.9173500762389004,3.7888446813528707
1294799,0.8664,19.935,67,0.9434782882011081,3.1216657325781414
1295475,1.8014,19.559,68,0.9056238926931371,3.8416413435185452
1295521,1.2983,20.673,58,0.9272635234328073,3.4193204299338262
1295530,1.3847,19.041,60,0.9340830842598711,3.8167618800375513
1295574,0.7366,19.424,65,0.9112626336145457,3.3264648556980854
1296365,1.161,18.819,60,0.9291829419790509,3.8167618800375513
1296417,1.025,20.242,53,0.9323538978907517,3.5885330757105716
1296442,1.7049,17.483,64,0.8859486269427788,3.498742911397819
1296448,2.5618,19.807,67,0.9167961221261708,3.6950329079496367
1296844,2.0164,19.777,60,0.9211449588706551,3.33099218621459
1297850,1.6223,20.125,47,0.9463901178792582,3.6827498798965776
1298154,1.7714,19.67,64,0.9234901548445681,3.8948270145749304
1298222,2.4036,19.88,68,0.9347373833681744,3.6527081626897644
1298399,1.5712,20.239,117,0.8984324790706346,3.941109463280902
1298520,1.9182,19.625,64,0.9166094161617124,3.5647569285940044
1298677,1.4862,18.031,64,0.9178239329712209,3.234686842613078
1298693,1.3701,20.184,67,0.9029140443654701,3.5039105161591384
1299294,2.31,19.618,69,0.9182247352362441,3.4869112390800963
1299660,2.7916,19.919,129,0.9004571742734623,3.7587611564984806
1299803,0.5268,18.172,62,0.9413480953903747,3.6535287998759824
1300190,2.1,19.201,61,0.8703843381856256,3.3572136557415377
1300533,2.0528,19.814,68,0.8918491511990364,3.2118640740892754
1300734,0.6877,19.914,62,0.9267010280847903,3.382897036922206
1300819,0.7796,19.671,68,0.9942488111608057,1.3225322658014664
1301263,1.3882,20.417,59,0.9094288511306112,3.585420855848133
1301664,1.4526,19.864,85,0.9617228281570693,0.5817757597784938
1301714,2.0004,18.704,69,0.9060945403141577,3.5491775112065262
1301929,1.0549,19.88,64,0.9163497474524028,3.3667148770054482
1302263,0.7603,20.166,123,0.8939590805593346,3.5105279313782383
1302891,1.6488,19.857,65,0.9412097313817828,3.587364060066563
1303145,3.2848,18.629,126,0.9127903185284731,3.6368839940275115
1303290,1.3784,19.569,61,0.9197314324507581,3.768301042158869
1303500,2.1609,19.523,66,0.9082486816474713,3.480636247221953
1303766,1.6748,19.708,69,0.9091857734511839,3.922775143965108
1303873,0.7014,19.847,61,0.9267314228388429,3.6312719133530917
1303943,1.9718,19.227,61,0.9112324610486778,3.5627573489502034
